06:28.29 | EXIF time read image016.jpg
06:28.29 | EXIF time read image018.jpg
06:28.29 | Pair skipped - Invalid dt
06:28.29 | Pair started image017.jpg - image018.jpg
06:28.30 | EXIF time read image017.jpg
06:28.30 | EXIF time read image018.jpg
06:28.40 | Image load success image017.jpg
06:28.49 | Image load success image018.jpg
06:29.79 | Match count 980
06:29.79 | Speed calculated image017.jpg - image018.jpg - 6.6753
06:29.79 | Pair started image017.jpg - image019.jpg
06:29.80 | EXIF time read image017.jpg
06:29.80 | EXIF time read image019.jpg
06:29.80 | Pair skipped - Invalid dt
06:29.80 | Pair started image018.jpg - image019.jpg
06:29.80 | EXIF time read image018.jpg
06:29.81 | EXIF time read image019.jpg
06:29.90 | Image load success image018.jpg
06:30.00 | Image load success image019.jpg
06:31.28 | Match count 997
06:31.28 | Speed calculated image018.jpg - image019.jpg - 8.1056
06:31.29 | Pair started image018.jpg - image020.jpg
06:31.29 | EXIF time read image018.jpg
06:31.29 | EXIF time read image020.jpg
06:31.29 | Pair skipped - Invalid dt
06:31.29 | Pair started image019.jpg - image020.jpg
06:31.30 | EXIF time read image019.jpg
06:31.30 | EXIF time read image020.jpg
06:31.40 | Image load success image019.jpg
06:31.49 | Image load success image020.jpg
06:32.76 | Match count 934
06:32.76 | Speed calculated image019.jpg - image020.jpg - 6.4801
06:32.76 | Pair started image019.jpg - image021.jpg
06:32.76 | EXIF time read image019.jpg
06:32.77 | EXIF time read image021.jpg
06:32.77 | Pair skipped - Invalid dt
06:32.77 | Pair started image020.jpg - image021.jpg
06:32.77 | EXIF time read image020.jpg
06:32.78 | EXIF time read image021.jpg
06:32.87 | Image load success image020.jpg
06:32.97 | Image load success image021.jpg
06:34.22 | Match count 828
06:34.22 | Speed calculated image020.jpg - image021.jpg - 6.3646
06:34.22 | Pair started image020.jpg - image022.jpg
06:34.23 | EXIF time read image020.jpg
06:34.23 | EXIF time read image022.jpg
06:34.23 | Pair skipped - Invalid dt
06:34.23 | Pair started image021.jpg - image022.jpg
06:34.23 | EXIF time read image021.jpg
06:34.24 | EXIF time read image022.jpg
06:34.33 | Image load success image021.jpg
06:34.42 | Image load success image022.jpg
06:35.65 | Match count 810
06:35.66 | Speed calculated image021.jpg - image022.jpg - 6.2412
06:35.66 | Pair started image021.jpg - image023.jpg
06:35.66 | EXIF time read image021.jpg
06:35.67 | EXIF time read image023.jpg
06:35.67 | Pair skipped - Invalid dt
06:35.67 | Pair started image022.jpg - image023.jpg
06:35.67 | EXIF time read image022.jpg
06:35.67 | EXIF time read image023.jpg
06:35.77 | Image load success image022.jpg
06:35.86 | Image load success image023.jpg
06:37.07 | Match count 541
06:37.07 | Speed calculated image022.jpg - image023.jpg - 7.8901
06:37.07 | Pair started image022.jpg - image024.jpg
06:37.07 | EXIF time read image022.jpg
06:37.08 | EXIF time read image024.jpg
06:37.08 | Pair skipped - Invalid dt
06:37.08 | Pair started image023.jpg - image024.jpg
06:37.08 | EXIF time read image023.jpg
06:37.09 | EXIF time read image024.jpg
06:37.18 | Image load success image023.jpg
06:37.27 | Image load success image024.jpg
06:38.46 | Match count 553
06:38.46 | Speed calculated image023.jpg - image024.jpg - 6.2883
06:38.46 | Pair started image023.jpg - image025.jpg
06:38.46 | EXIF time read image023.jpg
06:38.47 | EXIF time read image025.jpg
06:38.47 | Pair skipped - Invalid dt
